Passage,Model,A,B,C,D
1,GPT2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
2,GPT2,0.3333333333333333,0.0,0.0,0.0
3,GPT2,1.0,0.6666666666666666,0.6666666666666666,1.0
5,GPT2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
6,GPT2,0.0,0.3333333333333333,0.0,0.3333333333333333
7,GPT2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
8,GPT2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
9,GPT2,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666
10,GPT2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
11,GPT2,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
12,GPT2,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333
13,GPT2,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
14,GPT2,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666
15,GPT2,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
16,GPT2,0.3333333333333333,0.0,0.6666666666666666,0.0
17,GPT2,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
18,GPT2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
19,GPT2,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666
20,GPT2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
