Passage,A,B,C,D
1,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666
2,0.6666666666666666,0.6666666666666666,1.0,1.0
3,1.0,1.0,0.3333333333333333,0.6666666666666666
5,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666
6,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666
7,1.0,1.0,0.3333333333333333,0.6666666666666666
8,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
9,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
10,1.0,1.0,0.3333333333333333,0.3333333333333333
11,1.0,1.0,0.6666666666666666,1.0
12,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333
13,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
14,1.0,1.0,1.0,1.0
15,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
16,0.5,0.0,0.3333333333333333,0.0
17,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
18,1.0,0.6666666666666666,1.0,0.6666666666666666
19,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
20,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0
